2026-09-11 11:28:24 | INFO     | security.audit | AUDIT [TASK_SYSTEM_ACTION]: Prompt: open vs code... | Action: open_app | Result: success (SUCCESS)
2026-09-11 11:31:15 | WARNING  | app.models.model_manager | Model server (http://localhost:12434/engines/v1) unreachable: Request timed out.. Using offline fallback.
2026-09-11 11:31:15 | INFO     | security.audit | AUDIT [TASK_GENERAL]: Prompt: who is the president of india... | Model: general | Latency: 142276.4ms (SUCCESS)
2026-09-11 11:39:50 | INFO     | app.routes.voice | Transcribed audio successfully with en-US: amax who is the Prime Minister of India
2026-09-11 11:39:50 | INFO     | security.audit | AUDIT [VOICE_TRANSCRIBE]: Audio: recording.wav (122924 bytes) | Lang: en-US | Latency: 1350.8ms (SUCCESS)
2026-09-11 11:39:53 | INFO     | httpx2 | HTTP Request: POST http://localhost:12434/engines/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-11 11:39:54 | INFO     | security.audit | AUDIT [TASK_GENERAL]: Prompt: amax who is the Prime Minister of India... | Model: general | Latency: 3600.8ms (SUCCESS)
2026-09-11 12:26:31 | INFO     | app.routes.voice | Transcribed audio successfully with en-US: of America
2026-09-11 12:26:31 | INFO     | security.audit | AUDIT [VOICE_TRANSCRIBE]: Audio: recording.wav (79234 bytes) | Lang: en-US | Latency: 950.6ms (SUCCESS)
2026-09-11 12:27:24 | INFO     | httpx2 | HTTP Request: POST http://localhost:12434/engines/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-11 12:27:24 | INFO     | security.audit | AUDIT [TASK_GENERAL]: Prompt: of America... | Model: general | Latency: 52497.5ms (SUCCESS)
2026-09-11 12:28:56 | INFO     | httpx2 | HTTP Request: POST http://localhost:12434/engines/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-11 12:28:56 | INFO     | security.audit | AUDIT [TASK_GENERAL]: Prompt: explain it.... | Model: general | Latency: 9684.0ms (SUCCESS)
2026-09-11 12:31:03 | INFO     | httpx2 | HTTP Request: POST http://localhost:12434/engines/v1/chat/completions "HTTP/1.1 200 OK"
